# 标准名称,别名
内蒙古自治区,内蒙古
广西壮族自治区,广西
西藏自治区,西藏
新疆维吾尔自治区,新疆
宁夏回族自治区,宁夏
肃北蒙古族自治县,肃北
镇宁布依族苗族自治县,镇宁
紫云苗族布依族自治县,紫云
关岭布依族苗族自治县,关岭
道真仡佬族苗族自治县,道真
务川仡佬族苗族自治县,务川
威宁彝族回族苗族自治县,威宁
彭水苗族土家族自治县,彭水
酉阳土家族苗族自治县,酉阳
秀山土家族苗族自治县,秀山
石柱土家族自治县,石柱
琼中黎族苗族自治县,琼中
保亭黎族苗族自治县,保亭
印江土家族苗族自治县,印江
松桃苗族自治县,松桃
于都县,于都
杨陵区,杨凌示范区
北京市,在京
